ticker;name;type;theoretical_qty;part;
ALOS3;ALLOS;ON  ED  NM;466.632.333;0,544;
ABEV3;AMBEV S/A;ON;4.273.841.357;2,435;
ASAI3;ASSAI;ON      NM;1.344.470.815;0,575;
AURE3;AUREN;ON      NM;318.338.365;0,151;
AZZA3;AZZAS 2154;ON      NM;134.911.449;0,190;
B3SA3;B3;ON  EJ  NM;5.196.371.458;3,142;
BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,914;
BBDC3;BRADESCO;ON      N1;1.467.570.789;1,013;
BBDC4;BRADESCO;PN      N1;5.106.488.516;4,124;
BRAP4;BRADESPAR;PN      N1;250.973.136;0,194;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,874;
BRKM5;BRASKEM;PNA     N1;265.876.767;0,085;
BRAV3;BRAVA;ON      NM;461.715.081;0,387;
BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;3,086;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,403;
CEAB3;CEA MODAS;ON      NM;138.420.009;0,108;
CMIG4;CEMIG;PN      N1;1.904.057.894;0,980;
COGN3;COGNA ON;ON      NM;1.810.877.718;0,264;
CPLE6;COPEL;PNB     N2;1.671.982.390;0,967;
CSAN3;COSAN;ON      NM;1.148.010.756;0,325;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,334;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,400;
CURY3;CURY S/A;ON      NM;135.117.425;0,206;
CVCB3;CVC BRASIL;ON      NM;450.059.727;0,041;
CYRE3;CYRELA REALT;ON      NM;256.055.995;0,356;
DIRR3;DIRECIONAL;ON      NM;325.640.184;0,235;
ELET3;ELETROBRAS;ON      N1;1.821.923.647;4,223;
ELET6;ELETROBRAS;PNB     N1;270.513.025;0,659;
EMBR3;EMBRAER;ON      NM;733.564.938;2,711;
ENGI11;ENERGISA;UNT     N2;325.503.046;0,749;
ENEV3;ENEVA;ON      NM;1.912.620.486;1,457;
EGIE3;ENGIE BRASIL;ON      NM;255.215.967;0,469;
EQTL3;EQUATORIAL;ON      NM;1.246.479.596;2,094;
FLRY3;FLEURY;ON      NM;447.171.522;0,329;
GGBR4;GERDAU;PN      N1;1.276.025.309;0,970;
GOAU4;GERDAU MET;PN      N1;622.976.844;0,271;
HAPV3;HAPVIDA;ON      NM;311.257.700;0,521;
HYPE3;HYPERA;ON  EJ  NM;293.521.155;0,307;
IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,234;
IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,176;
ISAE4;ISA ENERGIA;PN      N1;395.801.044;0,441;
ITSA4;ITAUSA;PN      N1;5.853.286.928;3,046;
ITUB4;ITAUUNIBANCO;PN      N1;4.611.334.219;8,155;
KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,653;
RENT3;LOCALIZA;ON  EJ  NM;977.042.684;1,791;
LREN3;LOJAS RENNER;ON  EJ  NM;1.000.358.705;0,724;
MGLU3;MAGAZ LUIZA;ON      NM;355.414.674;0,182;
POMO4;MARCOPOLO;PN      N2;661.573.516;0,275;
MBRF3;MARFRIG;ON      NM;708.146.298;0,625;
BEEF3;MINERVA;ON      NM;433.648.983;0,129;
MOTV3;MOTIVA SA;ON      NM;988.559.510;0,666;
MRVE3;MRV;ON      NM;375.402.024;0,125;
MULT3;MULTIPLAN;ON  EJ  N2;314.022.221;0,412;
NATU3;NATURA;ON      NM;839.505.097;0,361;
PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,086;
PETR3;PETROBRAS;ON      N2;2.643.091.977;4,228;
PETR4;PETROBRAS;PN      N2;4.410.960.450;6,505;
RECV3;PETRORECSA;ON      NM;274.720.419;0,163;
PRIO3;PETRORIO;ON      NM;762.764.253;1,369;
PSSA3;PORTO SEGURO;ON  EJ  NM;181.016.454;0,404;
RADL3;RAIADROGASIL;ON      NM;1.285.713.898;1,046;
RAIZ4;RAIZEN;PN      N2;1.226.933.170;0,058;
RDOR3;REDE D OR;ON  EJ  NM;1.091.469.308;2,057;
RAIL3;RUMO S.A.;ON      NM;1.215.488.549;0,847;
SBSP3;SABESP;ON      NM;596.215.913;3,501;
SANB11;SANTANDER BR;UNT;360.347.199;0,482;
CSNA3;SID NACIONAL;ON;727.975.012;0,266;
SLCE3;SLC AGRICOLA;ON      NM;197.693.014;0,150;
SMFT3;SMART FIT;ON      NM;427.078.008;0,513;
SUZB3;SUZANO S.A.;ON      NM;645.082.079;1,459;
TAEE11;TAESA;UNT     N2;218.568.234;0,363;
VIVT3;TELEF BRASIL;ON  EJ;738.065.812;1,113;
TIMS3;TIM;ON  EJ  NM;804.628.136;0,838;
TOTS3;TOTVS;ON  EJ  NM;533.261.054;1,097;
UGPA3;ULTRAPAR;ON      NM;1.071.443.332;1,041;
USIM5;USIMINAS;PNA     N1;459.046.773;0,092;
VALE3;VALE;ON      NM;4.267.772.018;11,142;
VAMO3;VAMOS;ON      NM;498.192.519;0,084;
VBBR3;VIBRA;ON      NM;1.112.563.218;1,231;
VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,161;
WEGE3;WEG;ON  EJ  NM;1.485.954.732;2,462;
YDUQ3;YDUQS PART;ON      NM;260.753.144;0,154;

